id,event_unique_id,occurrence_year,occurrence_date,occurrence_time,reported_year,reported_date,reported_time,division,location_type,age_bias,mental_or_physical_disability,race_bias,ethnicity_bias,language_bias,religion_bias,sexual_orientation_bias,gender_bias,multiple_bias,primary_offence,hood_158,neighbourhood_158,hood_140,neighbourhood_140,arrest_made,occurrence_month,primary_offence_simplified,division_area
770,GO-2022348872,2022,2022-02-23,300,2022,2022-02-23,437,D32,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,153,Avondale (153),051,Willowdale East (51),NO,2,Property Crimes,North York
771,GO-2022377496,2022,2022-02-23,0,2022,2022-02-27,1240,D31,Government/Public Buildings,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO,2,Property Crimes,North York
772,GO-2022472350,2022,2022-02-23,2300,2022,2022-03-13,1451,D55,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Assault,069,Blake-Jones (69),069,Blake-Jones (69),NO,2,Assault,Toronto-East York
773,GO-2022365446,2022,2022-02-24,1600,2022,2022-02-25,1332,D32,Commercial/Business,NO,NO,None,Russian,None,None,None,None,NO,Uttering Threats - Property,034,Bathurst Manor (34),034,Bathurst Manor (34),YES,2,Threats and Harassment,North York
774,GO-2022363601,2022,2022-02-24,1900,2022,2022-02-25,1412,D33,Residential,NO,NO,None,None,None,None,None,Transgender Man (Identifies As Man),NO,Uttering Threats - Bodily Harm,043,Victoria Village (43),043,Victoria Village (43),NO,2,Threats and Harassment,North York
775,GO-2022370704,2022,2022-02-25,2100,2022,2022-02-26,948,D22,Residential,NO,NO,None,Ukrainian,None,None,None,None,NO,Mischief Under $5000,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),NO,2,Property Crimes,Etobicoke
776,GO-2022390048,2022,2022-02-26,2000,2022,2022-03-01,1100,D22,Public Spaces/Transportation,NO,NO,None,Ukrainian,None,None,None,None,NO,Mischief Over $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),YES,2,Property Crimes,Etobicoke
777,GO-2022390843,2022,2022-02-28,1545,2022,2022-03-01,1431,D13,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),NO,2,Property Crimes,Etobicoke-York
778,GO-2022389827,2022,2022-02-28,200,2022,2022-03-01,1132,D22,Government/Public Buildings,NO,NO,None,Ukrainian,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO,2,Property Crimes,Etobicoke
779,GO-2022384184,2022,2022-02-28,1300,2022,2022-02-28,1333,D23,Commercial/Business,NO,NO,None,None,None,Muslim,None,None,NO,Harassing Communications,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),NO,2,Threats and Harassment,Etobicoke
780,GO-2022396686,2022,2022-03-01,1600,2022,2022-03-02,1004,D51,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),NO,3,Property Crimes,Toronto-East York
781,GO-2022396104,2022,2022-03-01,1500,2022,2022-03-02,835,D14,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,079,University (79),079,University (79),NO,3,Property Crimes,Etobicoke-York
782,GO-20221043175,2022,2022-03-01,1645,2022,2022-06-02,1816,D51,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Uttering Threats - Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES,3,Threats and Harassment,Toronto-East York
783,GO-2022384262,2022,2022-03-01,1644,2022,2022-03-01,1644,D22,Residential,NO,NO,None,Ukrainian,None,None,None,None,NO,Mischief Under $5000,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO,3,Property Crimes,Etobicoke
784,GO-2022403056,2022,2022-03-01,1030,2022,2022-03-03,1520,D22,Educational,NO,NO,Black,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,011,Eringate-Centennial-West Deane (11),011,Eringate-Centennial-West Deane (11),NO,3,Property Crimes,Etobicoke
785,GO-2022396813,2022,2022-03-02,900,2022,2022-03-02,1246,D55,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,062,East End-Danforth (62),062,East End-Danforth (62),NO,3,Property Crimes,Toronto-East York
786,GO-2022405319,2022,2022-03-03,1415,2022,2022-03-03,1415,D41,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),NO,3,Property Crimes,Scarborough
787,GO-2022417320,2022,2022-03-04,2344,2022,2022-03-05,935,D22,Commercial/Business,NO,NO,None,Ukrainian,None,None,None,None,NO,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),YES,3,Property Crimes,Etobicoke
788,GO-2022432485,2022,2022-03-04,332,2022,2022-03-07,1610,D14,Public Spaces/Transportation,NO,NO,South Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,3,Assault,Etobicoke-York
790,GO-2022420485,2022,2022-03-05,1936,2022,2022-03-05,1936,D55,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,058,Old East York (58),058,Old East York (58),NO,3,Property Crimes,Toronto-East York
791,GO-2022421244,2022,2022-03-05,2227,2022,2022-03-05,2303,D22,Public Spaces/Transportation,NO,NO,None,Russian,None,None,None,None,NO,Mischief Over $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO,3,Property Crimes,Etobicoke
