id,event_unique_id,occurrence_year,occurrence_date,occurrence_time,reported_year,reported_date,reported_time,division,location_type,age_bias,mental_or_physical_disability,race_bias,ethnicity_bias,language_bias,religion_bias,sexual_orientation_bias,gender_bias,multiple_bias,primary_offence,hood_158,neighbourhood_158,hood_140,neighbourhood_140,arrest_made,occurrence_month,primary_offence_simplified,division_area
1,GO-201826213,2018,2018-01-03,1200,2018,2018-01-05,1321,D13,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Wilful Promotion of Hatred,102,Forest Hill North (102),102,Forest Hill North (102),NO,1,Hatred,Etobicoke-York
3,GO-201861664,2018,2018-01-10,2145,2018,2018-01-10,2146,D14,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,095,Annex (95),095,Annex (95),NO,1,Property Crimes,Etobicoke-York
4,GO-2018119145,2018,2018-01-19,2021,2018,2018-01-19,2021,D12,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,028,Rustic (28),028,Rustic (28),NO,1,Property Crimes,Etobicoke-York
5,GO-2018119799,2018,2018-01-19,1800,2018,2018-01-20,55,D52,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Assault,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),NO,1,Assault,Toronto-East York
6,GO-2018174949,2018,2018-01-26,1800,2018,2018-01-28,1326,D31,Government/Public Buildings,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO,1,Property Crimes,North York
7,GO-2018168427,2018,2018-01-27,1158,2018,2018-01-27,1158,D51,Government/Public Buildings,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO,1,Property Crimes,Toronto-East York
8,GO-2018200362,2018,2018-02-01,1000,2018,2018-02-01,1035,D13,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,102,Forest Hill North (102),102,Forest Hill North (102),NO,2,Threats and Harassment,Etobicoke-York
9,GO-2018198293,2018,2018-02-01,127,2018,2018-02-01,127,D12,Residential,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Mischief Under $5000,113,Weston (113),113,Weston (113),NO,2,Property Crimes,Etobicoke-York
10,GO-2018233724,2018,2018-02-02,900,2018,2018-02-09,939,D52,Educational,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,079,University (79),079,University (79),NO,2,Property Crimes,Toronto-East York
11,GO-2018276837,2018,2018-02-05,1257,2018,2018-02-13,941,D43,Educational,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO,2,Property Crimes,Scarborough
12,GO-2018274742,2018,2018-02-12,2140,2018,2018-02-12,2239,D51,Public Spaces/Transportation,NO,NO,None,None,None,None,Gay,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,2,Assault,Toronto-East York
13,GO-2018247956,2018,2018-02-13,600,2018,2018-02-13,843,NSA,Public Spaces/Transportation,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,NSA,NSA,NSA,NSA,NO,2,Property Crimes,Other
14,GO-2018299281,2018,2018-02-16,1300,2018,2018-02-16,1357,D53,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO,2,Threats and Harassment,Toronto-East York
15,GO-2018307464,2018,2018-02-17,1755,2018,2018-02-17,2006,D22,Government/Public Buildings,NO,NO,None,None,None,None,None,Transgender Woman (Identifies As Woman),NO,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO,2,Assault,Etobicoke
16,GO-2018325954,2018,2018-02-20,2136,2018,2018-02-20,2136,D52,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,2,Property Crimes,Toronto-East York
17,GO-2018338673,2018,2018-02-21,900,2018,2018-02-22,2039,D55,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,058,Old East York (58),058,Old East York (58),NO,2,Property Crimes,Toronto-East York
18,GO-2018338398,2018,2018-02-22,500,2018,2018-02-22,1751,D31,Healthcare,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO,2,Property Crimes,North York
19,GO-2018344655,2018,2018-02-23,1610,2018,2018-02-23,1617,D51,Public Spaces/Transportation,NO,NO,None,Chinese,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES,2,Assault,Toronto-East York
20,GO-2018349271,2018,2018-02-24,1045,2018,2018-02-24,1047,D32,Commercial/Business,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO,2,Property Crimes,North York
21,GO-2018368358,2018,2018-02-27,943,2018,2018-02-27,951,D52,Government/Public Buildings,NO,NO,Black,None,None,None,None,None,NO,Assault,NSA,NSA,NSA,NSA,YES,2,Assault,Toronto-East York
22,GO-2018384695,2018,2018-03-01,1545,2018,2018-03-01,1559,D31,Educational,NO,NO,None,Iranian,None,None,None,None,NO,Criminal Harassment,027,York University Heights (27),027,York University Heights (27),NO,3,Threats and Harassment,North York
23,GO-2018408769,2018,2018-03-05,1100,2018,2018-03-05,1239,D31,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO,3,Property Crimes,North York
24,GO-2018416387,2018,2018-03-06,700,2018,2018-03-06,1531,D53,Government/Public Buildings,NO,NO,Black,"Chinese, Arab",None,Jewish,None,None,YES,Uttering Threats - Bodily Harm,173,North Toronto (173),104,Mount Pleasant West (104),NO,3,Threats and Harassment,Toronto-East York
25,GO-2018417283,2018,2018-03-06,1430,2018,2018-03-06,1811,D32,Religious,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,035,Westminster-Branson (35),035,Westminster-Branson (35),NO,3,Threats and Harassment,North York
26,GO-2018441841,2018,2018-03-09,1900,2018,2018-03-10,905,D11,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,085,South Parkdale (85),085,South Parkdale (85),NO,3,Property Crimes,Etobicoke-York
27,GO-2018486339,2018,2018-03-16,1800,2018,2018-03-17,1336,D52,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,3,Property Crimes,Toronto-East York
28,GO-2018520971,2018,2018-03-22,620,2018,2018-03-22,1616,D31,Residential,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,3,Property Crimes,North York
29,GO-2018571693,2018,2018-03-27,2130,2018,2018-03-30,1130,D13,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Interfere With Property,094,Wychwood (94),094,Wychwood (94),NO,3,Property Crimes,Etobicoke-York
30,GO-2018827640,2018,2018-03-28,1345,2018,2018-05-08,838,D12,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),NO,3,Property Crimes,Etobicoke-York
31,GO-2018596065,2018,2018-03-28,1357,2018,2018-04-03,1349,D31,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,021,Humber Summit (21),021,Humber Summit (21),YES,3,Threats and Harassment,North York
32,GO-2018635192,2018,2018-04-08,1600,2018,2018-04-09,1348,D22,Religious,NO,NO,None,Korean,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO,4,Property Crimes,Etobicoke
33,GO-2018653264,2018,2018-04-12,812,2018,2018-04-12,812,D51,Public Spaces/Transportation,NO,NO,None,None,None,None,None,Woman,NO,Assault With a Weapon,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,4,Assault,Toronto-East York
34,GO-2018660834,2018,2018-04-13,1045,2018,2018-04-13,1045,D51,Government/Public Buildings,NO,NO,Black,None,None,None,None,None,NO,Criminal Harassment,073,Moss Park (73),073,Moss Park (73),NO,4,Threats and Harassment,Toronto-East York
35,GO-2018660266,2018,2018-04-13,900,2018,2018-04-13,1032,D52,Public Spaces/Transportation,NO,NO,None,None,None,None,None,Woman,NO,Assault Causing Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES,4,Assault,Toronto-East York
36,GO-2018680241,2018,2018-04-14,1709,2018,2018-04-16,1541,D52,Healthcare,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,4,Threats and Harassment,Toronto-East York
37,GO-2018672544,2018,2018-04-15,1049,2018,2018-04-15,1222,D51,Commercial/Business,NO,NO,None,None,None,None,None,Woman,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,4,Assault,Toronto-East York
38,GO-2018697960,2018,2018-04-16,620,2018,2018-04-19,745,D52,Commercial/Business,NO,NO,None,None,None,None,None,Woman,NO,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES,4,Assault,Toronto-East York
39,GO-2018696936,2018,2018-04-19,258,2018,2018-04-19,258,D31,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,4,Property Crimes,North York
40,GO-2018712781,2018,2018-04-20,2030,2018,2018-04-21,1211,D51,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),NO,4,Assault,Toronto-East York
42,GO-2018930794,2018,2018-04-22,1926,2018,2018-05-23,2002,D22,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO,4,Threats and Harassment,Etobicoke
43,GO-2018745946,2018,2018-04-25,1900,2018,2018-04-26,1155,D53,Commercial/Business,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,103,Lawrence Park South (103),103,Lawrence Park South (103),YES,4,Property Crimes,Toronto-East York
44,GO-2018743233,2018,2018-04-26,1,2018,2018-04-26,19,D55,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,Lesbian,None,YES,Assault,070,South Riverdale (70),070,South Riverdale (70),NO,4,Assault,Toronto-East York
45,GO-2018767447,2018,2018-04-28,2100,2018,2018-04-29,1813,D13,Residential,NO,NO,None,None,None,None,Gay,None,NO,Mischief Under $5000,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO,4,Property Crimes,Etobicoke-York
46,GO-2018806839,2018,2018-05-05,105,2018,2018-05-05,354,D43,Public Spaces/Transportation,NO,NO,None,Chinese,None,None,None,None,NO,Assault,134,Highland Creek (134),134,Highland Creek (134),NO,5,Assault,Scarborough
47,GO-2018882139,2018,2018-05-14,615,2018,2018-05-16,1634,D53,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,173,North Toronto (173),104,Mount Pleasant West (104),NO,5,Property Crimes,Toronto-East York
48,GO-20181152753,2018,2018-05-16,951,2018,2018-06-25,702,NSA,Educational,NO,NO,None,Chinese,None,None,None,None,NO,Uttering Threats - Bodily Harm,NSA,NSA,NSA,NSA,NO,5,Threats and Harassment,Other
49,GO-2018891688,2018,2018-05-17,1825,2018,2018-05-17,1833,D52,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Interfere With Property,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,5,Property Crimes,Toronto-East York
50,GO-2018903594,2018,2018-05-19,1450,2018,2018-05-19,1451,D33,Residential,NO,NO,Black,None,None,None,None,None,NO,Assault With a Weapon,043,Victoria Village (43),043,Victoria Village (43),YES,5,Assault,North York
51,GO-2018913953,2018,2018-05-21,948,2018,2018-05-21,948,D43,Educational,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,138,Eglinton East (138),138,Eglinton East (138),NO,5,Property Crimes,Scarborough
52,GO-20181364803,2018,2018-05-24,1,2018,2018-07-26,1554,D32,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),NO,5,Property Crimes,North York
53,GO-2018970888,2018,2018-05-29,1700,2018,2018-05-29,1810,D23,Residential,NO,NO,None,None,None,None,Gay,None,NO,Uttering Threats - Bodily Harm,001,West Humber-Clairville (1),001,West Humber-Clairville (1),NO,5,Threats and Harassment,Etobicoke
54,GO-2018975560,2018,2018-05-29,2030,2018,2018-05-30,1312,D13,Religious,NO,NO,None,None,None,Jewish,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",094,Wychwood (94),094,Wychwood (94),NO,5,Property Crimes,Etobicoke-York
56,GO-2018989194,2018,2018-05-31,1900,2018,2018-06-01,853,D55,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,5,Property Crimes,Toronto-East York
57,GO-2018990504,2018,2018-06-01,1225,2018,2018-06-01,1225,D53,Religious,NO,NO,None,None,None,Christian,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",095,Annex (95),095,Annex (95),NO,6,Property Crimes,Toronto-East York
58,GO-20181026326,2018,2018-06-06,1557,2018,2018-06-06,1803,D31,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES,6,Assault,North York
59,GO-20181025277,2018,2018-06-06,1500,2018,2018-06-06,1502,D31,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES,6,Assault,North York
60,GO-20181027737,2018,2018-06-06,2152,2018,2018-06-06,2152,D31,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES,6,Assault,North York
61,GO-20181034201,2018,2018-06-07,1952,2018,2018-06-07,2003,D31,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES,6,Assault,North York
62,GO-20181062250,2018,2018-06-12,550,2018,2018-06-12,615,D55,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Uttering Threats - Bodily Harm,044,Flemingdon Park (44),044,Flemingdon Park (44),YES,6,Threats and Harassment,Toronto-East York
63,GO-20181263327,2018,2018-06-22,1418,2018,2018-07-11,1509,D32,Commercial/Business,NO,NO,None,Iranian,None,None,None,None,NO,Uttering Threats - Property,050,Newtonbrook East (50),050,Newtonbrook East (50),YES,6,Threats and Harassment,North York
64,GO-20181141157,2018,2018-06-23,746,2018,2018-06-23,746,D52,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,6,Property Crimes,Toronto-East York
65,GO-20181150834,2018,2018-06-24,553,2018,2018-06-24,2054,D52,Residential,NO,NO,None,None,None,None,Gay,None,NO,Uttering Threats - Bodily Harm,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,6,Threats and Harassment,Toronto-East York
66,GO-20181162920,2018,2018-06-26,700,2018,2018-06-26,1537,D51,Commercial/Business,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Arson,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,6,Property Crimes,Toronto-East York
67,GO-20181162575,2018,2018-06-26,1452,2018,2018-06-26,1452,D31,Educational,NO,NO,None,Indian,None,None,Gay,None,YES,Public Incitement of Hatred,027,York University Heights (27),027,York University Heights (27),NO,6,Hatred,North York
68,GO-20181173411,2018,2018-06-27,1700,2018,2018-06-28,1008,D55,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,062,East End-Danforth (62),062,East End-Danforth (62),NO,6,Property Crimes,Toronto-East York
69,GO-20181268199,2018,2018-06-29,736,2018,2018-06-29,800,D52,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,6,Property Crimes,Toronto-East York
70,GO-20181218012,2018,2018-07-04,1600,2018,2018-07-23,1407,D51,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,7,Assault,Toronto-East York
71,GO-20181266584,2018,2018-07-10,0,2018,2018-07-11,2221,D52,Commercial/Business,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),NO,7,Property Crimes,Toronto-East York
72,GO-20181282134,2018,2018-07-14,445,2018,2018-07-14,452,D32,Public Spaces/Transportation,NO,NO,None,Indian,None,None,None,None,NO,Assault,152,East Willowdale (152),051,Willowdale East (51),NO,7,Assault,North York
73,GO-20181332309,2018,2018-07-21,1304,2018,2018-07-21,1304,D32,Religious,NO,NO,None,None,None,Jewish,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",034,Bathurst Manor (34),034,Bathurst Manor (34),NO,7,Property Crimes,North York
74,GO-20181346936,2018,2018-07-23,1823,2018,2018-07-23,1823,D52,Government/Public Buildings,NO,NO,None,None,None,Muslim,None,None,NO,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),YES,7,Assault,Toronto-East York
75,GO-20181494096,2018,2018-07-23,0,2018,2018-08-13,2305,D32,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Theft,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO,7,Property Crimes,North York
76,GO-20181358465,2018,2018-07-24,1900,2018,2018-07-25,1218,D55,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,043,Victoria Village (43),043,Victoria Village (43),NO,7,Property Crimes,Toronto-East York
77,GO-20181371226,2018,2018-07-26,1700,2018,2018-07-27,816,D51,Commercial/Business,NO,NO,None,Iranian,None,None,None,None,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO,7,Property Crimes,Toronto-East York
78,GO-20181387642,2018,2018-07-29,1842,2018,2018-07-29,2010,D11,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,087,High Park-Swansea (87),087,High Park-Swansea (87),NO,7,Property Crimes,Etobicoke-York
80,GO-20181423067,2018,2018-08-02,1200,2018,2018-08-03,1523,D51,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,8,Property Crimes,Toronto-East York
81,GO-20181421823,2018,2018-08-03,1148,2018,2018-08-03,1148,D22,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,013,Etobicoke West Mall (13),013,Etobicoke West Mall (13),NO,8,Property Crimes,Etobicoke
82,GO-20181441618,2018,2018-08-03,1200,2018,2018-08-06,1426,D13,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),NO,8,Property Crimes,Etobicoke-York
83,GO-20181458534,2018,2018-08-08,1819,2018,2018-08-08,1819,D53,Public Spaces/Transportation,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Assault With a Weapon,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,8,Assault,Toronto-East York
84,GO-20181466167,2018,2018-08-09,1939,2018,2018-08-09,1939,D42,Commercial/Business,NO,NO,None,None,None,Muslim,None,None,NO,Assault,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),YES,8,Assault,Scarborough
85,GO-20181476930,2018,2018-08-11,1130,2018,2018-08-11,1130,D52,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,8,Property Crimes,Toronto-East York
86,GO-20181485317,2018,2018-08-12,1720,2018,2018-08-12,1732,D12,Public Spaces/Transportation,NO,NO,None,None,None,None,None,Transgender Man (Identifies As Man),NO,Assault,090,Junction Area (90),090,Junction Area (90),NO,8,Assault,Etobicoke-York
87,GO-20181496924,2018,2018-08-14,1000,2018,2018-08-14,1204,D22,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,013,Etobicoke West Mall (13),013,Etobicoke West Mall (13),NO,8,Property Crimes,Etobicoke
88,GO-20181504449,2018,2018-08-14,1,2018,2018-08-15,1332,D32,Religious,NO,NO,None,None,None,Jewish,None,None,NO,Indecent Communications,034,Bathurst Manor (34),034,Bathurst Manor (34),YES,8,Other Offences,North York
89,GO-20181532003,2018,2018-08-19,1546,2018,2018-08-19,1546,D14,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,083,Dufferin Grove (83),083,Dufferin Grove (83),NO,8,Property Crimes,Etobicoke-York
90,GO-20181650394,2018,2018-08-20,1,2018,2018-09-06,1211,D22,Residential,NO,NO,Black,None,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",018,New Toronto (18),018,New Toronto (18),NO,8,Property Crimes,Etobicoke
91,GO-20181561304,2018,2018-08-21,2100,2018,2018-08-23,2240,D32,Residential,NO,NO,None,None,None,None,Gay,None,NO,Assault,036,Newtonbrook West (36),036,Newtonbrook West (36),NO,8,Assault,North York
92,GO-20181553183,2018,2018-08-22,1645,2018,2018-08-22,1846,D51,Government/Public Buildings,NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO,8,Property Crimes,Toronto-East York
93,GO-20181574827,2018,2018-08-25,2310,2018,2018-08-25,2311,D22,Public Spaces/Transportation,NO,NO,None,Arab,None,None,None,None,NO,Assault With a Weapon,015,Kingsway South (15),015,Kingsway South (15),NO,8,Assault,Etobicoke
94,GO-20181640330,2018,2018-08-27,1457,2018,2018-08-27,1553,D43,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO,8,Property Crimes,Scarborough
95,GO-20181637015,2018,2018-08-30,0,2018,2018-09-04,1342,D32,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),NO,8,Property Crimes,North York
96,GO-20181612331,2018,2018-08-31,1315,2018,2018-08-31,1654,D53,Public Spaces/Transportation,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Assault,095,Annex (95),095,Annex (95),NO,8,Assault,Toronto-East York
97,GO-20181639568,2018,2018-09-04,800,2018,2018-09-04,2017,D22,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO,9,Property Crimes,Etobicoke
98,GO-2019382475,2018,2018-09-04,900,2019,2019-03-01,1523,D32,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,050,Newtonbrook East (50),050,Newtonbrook East (50),NO,9,Property Crimes,North York
100,GO-20181714453,2018,2018-09-15,2357,2018,2018-09-16,0,D52,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Uttering Threats - Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES,9,Threats and Harassment,Toronto-East York
101,GO-20181737925,2018,2018-09-19,1300,2018,2018-09-19,1608,D31,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO,9,Property Crimes,North York
102,GO-20181749520,2018,2018-09-20,1600,2018,2018-09-21,1130,D14,Religious,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",084,Little Portugal (84),084,Little Portugal (84),NO,9,Property Crimes,Etobicoke-York
103,GO-20181754281,2018,2018-09-21,2233,2018,2018-09-21,2356,D31,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,9,Property Crimes,North York
104,GO-20181832964,2018,2018-09-21,1,2018,2018-10-04,900,D22,Commercial/Business,NO,NO,Black,None,None,Jewish,None,None,YES,Uttering Threats - Bodily Harm,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO,9,Threats and Harassment,Etobicoke
105,GO-20182028654,2018,2018-10-01,0,2018,2018-11-03,1243,D31,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,10,Property Crimes,North York
106,GO-20181820978,2018,2018-10-02,1200,2018,2018-10-02,1306,D42,Government/Public Buildings,NO,NO,None,Pakistani,None,None,None,None,NO,Indecent Communications,146,Malvern East (146),132,Malvern (132),NO,10,Other Offences,Scarborough
107,GO-20181878002,2018,2018-10-04,1,2018,2018-10-11,1035,D32,Government/Public Buildings,NO,NO,None,None,None,Jewish,None,None,NO,Indecent Communications,034,Bathurst Manor (34),034,Bathurst Manor (34),NO,10,Other Offences,North York
108,GO-20181864322,2018,2018-10-05,1600,2018,2018-10-09,1220,D13,Religious,NO,NO,None,Israeli,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",107,Oakwood Village (107),107,Oakwood Village (107),NO,10,Property Crimes,Etobicoke-York
109,GO-20181862954,2018,2018-10-07,2000,2018,2018-10-09,842,D13,Educational,NO,NO,None,None,None,Jewish,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO,10,Property Crimes,Etobicoke-York
110,GO-20181889106,2018,2018-10-07,1230,2018,2018-10-12,2221,D22,Religious,NO,NO,Black,None,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",018,New Toronto (18),018,New Toronto (18),NO,10,Property Crimes,Etobicoke
111,GO-20181858695,2018,2018-10-08,1240,2018,2018-10-08,1241,NSA,Public Spaces/Transportation,NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,NSA,NSA,NSA,NSA,NO,10,Property Crimes,Other
112,GO-20181879526,2018,2018-10-09,800,2018,2018-10-11,1404,D32,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO,10,Property Crimes,North York
113,GO-20181962746,2018,2018-10-22,1417,2018,2018-10-24,1910,D53,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,099,Mount Pleasant East (99),099,Mount Pleasant East (99),YES,10,Property Crimes,Toronto-East York
114,GO-20181967758,2018,2018-10-25,710,2018,2018-10-25,1205,D14,Public Spaces/Transportation,NO,NO,Indigenous,None,None,None,None,None,NO,Assault,162,West Queen West (162),082,Niagara (82),NO,10,Assault,Etobicoke-York
115,GO-20181988491,2018,2018-10-26,800,2018,2018-10-28,1120,D13,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,101,Forest Hill South (101),101,Forest Hill South (101),NO,10,Property Crimes,Etobicoke-York
